screen_name,device_count,fav_avg,fav_max,fav_std,fav_total,len_mean,rt_avg,rt_max,rt_std,rt_total,time_delta,follower,friends,eleted
Termy,5,0.381294964,8,0.916638239,53,116.7482014,349.2302158,11542,1582.071506,48543,0.231884058,415,540,0
JamesWrightLD,5,1.746987952,48,5.461460534,145,128.0843373,131.0240964,3315,414.1423996,10875,0.390243902,738,1427,1
WilliamPHDyer,4,1.263157895,22,3.804550903,72,111.3333333,68.28070175,1682,244.181968,3892,0.535714286,1673,891,0
DanielZeichner,6,12.5990566,225,28.14039263,2671,128.7358491,35.5,2293,181.1514403,7526,0.151658768,5000,4281,1
robertcourts,4,9.512195122,28,7.587287028,390,133.6097561,109.4634146,1712,362.0534321,4488,0.775,5000,3190,0
Eluned_Parrott,3,0.929577465,12,1.919682659,132,118.1971831,301.7464789,13483,1554.226054,42848,0.226950355,4054,692,1
Georgina_Milne,2,7.117647059,82,12.71581855,484,121.5735294,1053.397059,67375,8116.152222,71631,0.47761194,4349,2337,0
PaulaJaneB,6,5.497382199,38,8.217510575,1050,121.3193717,81.55497382,14483,1044.824275,15577,0.168421053,5000,1274,0
MilesGrindey,5,1,50,4.201382261,155,104.1612903,342.0903226,20810,1845.623033,53024,0.207792208,937,850,1
joerichards,5,2.565762004,719,32.89439287,1229,123.7724426,1257.058455,303005,14470.26708,602131,0.066945607,693,629,0
GillFurnissMP,3,3.836538462,23,4.845915363,399,116.5288462,268.4038462,14683,1488.844457,27914,0.310679612,3659,801,1
johnpotterLD,4,0.653465347,10,1.643683641,66,104.3762376,98.1980198,3795,504.468194,9918,0.32,1384,1428,1
_Peacocks_,2,0.352380952,11,1.264767642,37,109.4285714,3210.552381,229699,22785.20049,337108,0.298076923,490,1278,1
mikejwood,6,1.37037037,12,2.584113117,37,125.6296296,163.8148148,1720,427.4167051,4423,0.923076923,3339,1908,1
TommySheppard,5,40.19491525,648,82.16521785,4743,125.5847458,102.4915254,4598,436.187173,12094,0.273504274,5000,410,1
tracy_harvey,3,1.2,9,2.441311123,24,95.3,6.65,56,13.52506932,133,1.263157895,1036,1203,1
JudithBuntingLD,6,2.952293578,41,4.551995153,1609,122.4954128,170.3119266,72482,3112.846622,92820,0.058823529,2867,3222,0
laylamoran,6,5.114173228,120,11.6534083,1299,95.11811024,19.9015748,733,75.71461491,5055,0.126482213,5000,4324,1
Sandhyamma,4,0.538461538,2,0.692307692,14,126.7692308,77.42307692,1796,344.781667,2013,1.2,719,741,0
ClaireforTAY,3,2.282828283,15,3.559140754,226,108.5555556,120.040404,2650,363.1898221,11884,0.326530612,782,728,1
racheleden,4,1.890052356,46,4.38983303,361,112.1989529,485.2041885,27146,2895.491239,92674,0.168421053,3077,2526,0
ldmikebell,3,0.45412844,10,1.18871082,99,122.733945,220.6697248,25047,1724.326022,48106,0.147465438,1656,2142,1
YasminQureshiMP,6,13.6,362,51.8493973,680,121.8,412.02,9636,1553.050785,20601,0.653061224,5000,2375,1
MadeleineMoon,5,6.25,53,8.184983299,775,127.8306452,37.07258065,1378,168.0353349,4597,0.25203252,5000,903,1
CreweLabour,3,6.3125,17,5.587024588,101,114.0625,4.8125,13,4.00341651,77,1.133333333,865,412,1
ASJSimpson,7,0.25095057,8,0.888107447,66,120.3536122,913.3346008,41346,3974.045359,240207,0.122137405,406,193,0
MartynDaySNP,3,1.5,33,6.873863542,33,131.3181818,125.2727273,1657,358.9828031,2756,1.285714286,5000,846,0
andymstrange,5,1.307692308,9,2.398224195,17,104.8461538,1.153846154,4,1.291758125,15,1.416666667,287,334,1
StephenGethins,4,20.03125,447,49.80357763,4487,127.9151786,47.09821429,1385,121.1354731,10550,0.143497758,5000,1971,1
AnnelieseDodds,2,4.597402597,32,8.094024957,354,131.3246753,228.9350649,5787,766.3897204,17628,0.407894737,5000,879,0
Telfordlabour,4,7.683501684,360,23.98640532,2282,126.0740741,45.65319865,4516,313.7557505,13559,0.108108108,2484,1414,1
dinahkeal,5,0.875968992,32,2.99096249,113,122.2093023,440.4728682,55567,4872.677279,56821,0.25,865,1492,0
JoySquires,7,2.048780488,21,3.77540965,336,111.8658537,167.3841463,13125,1069.956908,27451,0.196319018,2122,1287,0
MikeKaneMP,3,8.258928571,82,15.88504774,925,123.3660714,729.2053571,42609,4220.003096,81671,0.288288288,5000,2223,0
callum_mccaig,5,34.83730159,2332,157.7287748,8779,117,1746.400794,303003,19171.33106,440093,0.12749004,5000,1108,1
LabourMarina,3,1.069105691,19,2.382034045,263,118.4430894,696.9146341,32666,2923.450169,171441,0.130612245,974,464,1
NickGibbUK,2,0,0,0,0,136.5,1558,4987,2017.64256,6232,9.666666667,5000,1352,1
PeterThornton10,6,0.268817204,4,0.713009447,50,91.2311828,719.2365591,32346,2889.086692,133778,0.172972973,649,294,0
EmmaWhysall,5,2.419512195,76,8.157570762,496,118.9365854,788.7902439,60878,4660.99999,161702,0.156862745,1075,855,1
gregjudge,4,0.346153846,5,1.023154036,27,126.0384615,1442.782051,47744,6725.636997,112537,0.415584416,1484,1792,0
chhcalling,3,2.14893617,49,6.044675484,303,125.3758865,91.4964539,8510,717.921968,12901,0.228571429,5000,141,1
AlanUkip,4,2.155913978,52,5.772794228,401,97.01075269,65.09677419,3341,325.1045511,12108,0.145945946,867,88,1
HugoSwire,4,2.289655172,25,3.615898308,332,110.8206897,1871.324138,225279,18672.07,271342,0.222222222,5000,877,1
PaulMcGarryUK,3,1.653846154,5,1.439612867,43,112.3846154,51.80769231,974,195.4503713,1347,0.6,5000,3233,1
Hitesh_T,3,0.658959538,31,2.796445527,114,128.0982659,2915.115607,80503,10517.04023,504315,0.186046512,2393,3472,1
IanMurrayMP,2,25.06666667,1305,104.6621337,4512,119.0666667,701.3333333,30605,3591.279213,126240,0.17877095,5000,2562,1
