screen_name,device_count,fav_avg,fav_max,fav_std,fav_total,len_mean,rt_avg,rt_max,rt_std,rt_total,time_delta,follower,friends,eleted
gulnar73,4,0.76284585,26,2.465389474,386,124.4644269,339.1521739,51810,2643.996647,171611,0.184158416,1351,1999,1
KateHoeyMP,3,57.3255814,737,116.3435945,7395,114.1627907,59.87596899,593,114.2456898,7724,0.7109375,5000,913,0
antony_calvert,5,3.086560364,70,7.754888341,1355,112,32.12072893,1986,159.1219687,14101,0.212328767,1475,1460,1
MaryCreaghMP,6,17.74907063,543,40.15479168,9549,114.3959108,420.2788104,67257,3413.360981,226110,0.150837989,5000,1902,0
HelenJonesMP,3,5.342756184,138,13.41453152,1512,116.3922261,115.5229682,5802,513.3786465,32693,0.329787234,5000,494,1
jonathanhornett,6,1.970530452,105,5.551076987,1003,128.0078585,2215.102161,1086076,48090.06895,1127487,0.133858268,934,782,0
JSHeappey,4,5.760416667,203,16.05183322,1106,122.6510417,115.8385417,7106,791.5584707,22241,0.481675393,5000,548,1
JohnRWaddell,3,0.760810811,38,2.575525009,563,118.0581081,792.2891892,104116,5607.956789,586294,0.123139378,1005,543,1
tom_watson,3,85.15931373,2400,232.4964191,34745,94.99754902,450.2818627,36496,2298.128611,183715,0.228501229,5000,5000,0
hbaldwin,4,2.384615385,111,8.862092664,620,112.7076923,68.12692308,5396,372.5696053,17713,0.359073359,5000,3265,1
NMcGreenParty,4,1.204030227,52,3.850634922,478,122.1939547,172.2115869,20802,1137.17684,68368,0.234848485,609,651,1
timfarron,5,276.7991886,5861,768.90118,136462,99.15415822,269.3894523,18964,959.9429171,132809,0.18902439,5000,5000,0
WillJPatterson,3,1.744813278,35,3.907013598,841,121.1473029,558.4315353,96903,5448.669342,269164,0.193347193,1641,3376,1
FionaColley,4,1.787878788,43,5.462956478,177,124.8383838,423.010101,16115,2106.615288,41878,0.93877551,2422,1371,1
WillForster,3,2.287878788,64,6.006978647,755,123.0787879,222.3333333,33741,1970.463586,73370,0.282674772,1285,516,0
GreensWolves,2,0.95,4,1.263922466,38,93.825,6.025,217,33.79976886,241,2.333333333,636,638,1
DJerrome,3,0.371179039,7,1.013984707,85,125.4716157,48.62882096,2465,210.1519875,11136,0.407894737,943,2019,1
WynEJones,3,0.76,15,2.549980392,38,124.9,51.52,1080,164.3472227,2576,1.795918367,622,940,1
isobeldavidson,4,0.336842105,3,0.642536525,32,99.68421053,9.8,702,71.55691147,931,0.978723404,287,180,1
Gary_Puffett,5,0.362704918,36,1.930557355,177,118.3401639,1165.829918,218525,10332.87919,568925,0.041067762,1189,1664,1
CogginsGeraldin,5,0.237179487,9,0.848166798,74,128.8397436,721.4775641,121015,7514.625993,225101,0.250803859,1106,2030,1
AndrewHWestern,2,2.483870968,51,6.608259581,462,103.3978495,550.2580645,33741,3117.301417,102348,0.497297297,1757,878,0
MarkTamiMP,3,2.445833333,95,8.600217011,587,115.1125,53.40416667,3794,340.4865746,12817,0.384937238,5000,504,0
Kirstene4Angus,4,11.26285714,503,42.28920217,1971,128.3085714,49.89142857,3982,304.5769988,8731,0.183908046,4368,597,0
