Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality
EuropeanPenguin,,,2,0,2,6982,0,6982,0,0,0,0,43,0.000048,0.000321,0,0,7,0,0.011522
WilliamPHDyer,,,0,27,27,0,49821,49821,3,0.62,0.709677,0,75,0.000046,0,0.002322,0,114,0.005698,0
RakheeV,,,3,0,3,22330,0,22330,0,0,0,0,75,0.000051,0.000353,0,0,95,0.166667,0.024583
bingaddick,,,20,0,20,108944,0,108944,0,0,0,0,75,0.000111,0.002301,0,0,89,0.002632,0.165855
EngageQM,,,1,0,1,2271,0,2271,0,0,0,0,75,0.000048,0.000167,0,0,113,0,0.005761
sa8mytv,,,1,0,1,317,0,317,0,0,0,0,75,0.000048,0.000167,0,0,112,0,0.005761
KeithKeithya,,,9,0,9,8866,0,8866,0,0,0,0,1,0.000062,0.001055,0,0,111,0,0.060294
macblog82,,,1,0,1,1470,0,1470,0,0,0,0,75,0.000048,0.000167,0,0,110,0,0.005761
FranchiLiza,,,2,0,2,786,0,786,0,0,0,0,75,0.000049,0.000299,0,0,98,0.5,0.018822
THLDs,,,2,0,2,4724,0,4724,0,0,0,0,75,0.000049,0.000299,0,0,105,0.5,0.018822
anna_LD_2017,,,1,0,1,246,0,246,0,0,0,0,75,0.000048,0.000167,0,0,109,0,0.005761
YasYeahia,,,1,0,1,516,0,516,0,0,0,0,75,0.000048,0.000167,0,0,108,0,0.005761
esbagshaw,,,2,26,28,10014,58804,68818,2,0.882353,0.933333,52.5,75,0.000049,0.000269,0.001847,0,107,0.007937,0.011522
QMUL_PsychSoc,,,1,0,1,227,0,227,0,0,0,0,75,0.000048,0.000167,0,0,80,0,0.005761
QMSU,,,1,0,1,8410,0,8410,0,0,0,0,75,0.000048,0.000167,0,0,79,0,0.005761
ShamrockSoup,,,1,0,1,556,0,556,0,0,0,0,75,0.000048,0.000167,0,0,78,0,0.005761
ZoeKirkRobinson,,,5,0,5,6594,0,6594,0,0,0,0,75,0.000054,0.015594,0,0,77,0,0.033878
MarkGitsham,,,1,0,1,338,0,338,0,0,0,0,75,0.000048,0.000167,0,0,76,0,0.005761
Danny_Sammut,,,1,0,1,880,0,880,0,0,0,0,75,0.000048,0.000167,0,0,75,0,0.005761
formerleft,,,3,0,3,13997,0,13997,0,0,0,0,39,0.000057,0.006231,0,0,74,0,0.017283
AndyGcrime,,,1,0,1,357,0,357,0,0,0,0,75,0.000048,0.000167,0,0,73,0,0.005761
richarddflowers,,,2,11,13,1277,20376,21653,1,1,1,21,75,0.000049,0.0003,0.000655,0,72,0,0.011522
SouthernRailOK,,,5,0,5,8505,0,8505,0,0,0,0,149,0.000084,0.000389,0,0,60,0,0.0336
Brexit_News,,,1,0,1,1915,0,1915,0,0,0,0,75,0.000048,0.000167,0,0,59,0,0.005761
WelfareQMSU,,,1,0,1,1076,0,1076,0,0,0,0,75,0.000048,0.000167,0,0,58,0,0.005761
Sammy___D,,,1,0,1,536,0,536,0,0,0,0,75,0.000048,0.000167,0,0,57,0,0.005761
RussoForAmerica,,,1,0,1,583,0,583,0,0,0,0,75,0.000048,0.000167,0,0,56,0,0.005761
QMLibDems,,,1,0,1,273,0,273,0,0,0,0,75,0.000048,0.000167,0,0,55,0,0.005761
DanielZeichner,,,0,75,75,0,273894,273894,1,1,1,0,56,0.000046,0,0.015243,0,190,0,0
NicDemocrat,,,11,0,11,4743,0,4743,0,0,0,0,0,0.000065,0.004755,0,0,189,0,0.068444
trbl_up_tmillrd,,,1,0,1,1632,0,1632,0,0,0,0,56,0.000047,0.001094,0,0,188,0,0.005761
Ollie4themany,,,2,0,2,4387,0,4387,0,0,0,0,56,0.000057,0.0011,0,0,187,0,0.011522
tariqsadiq,,,1,0,1,652,0,652,0,0,0,0,56,0.000047,0.001094,0,0,186,0,0.005761
salvodimaggio,,,1,0,1,123,0,123,0,0,0,0,56,0.000047,0.001094,0,0,185,0,0.005761
viewreader,,,1,0,1,7746,0,7746,0,0,0,0,56,0.000047,0.001094,0,0,184,0,0.005761
IoiTherealnacho,,,1,0,1,1040,0,1040,0,0,0,0,56,0.000047,0.001094,0,0,183,0,0.005761
ideasKathy,,,1,0,1,1686,0,1686,0,0,0,0,56,0.000047,0.001094,0,0,182,0,0.005761
AnnMSinnott,,,1,0,1,11615,0,11615,0,0,0,0,56,0.000047,0.001094,0,0,181,0,0.005761
janeCambAhead,,,1,0,1,117,0,117,0,0,0,0,56,0.000047,0.001094,0,0,180,0,0.005761
bgaute,,,1,0,1,339,0,339,0,0,0,0,56,0.000047,0.001094,0,0,179,0,0.005761
SaveTheWFields,,,3,0,3,46462,0,46462,0,0,0,0,56,0.00005,0.00124,0,0,178,0,0.022356
anna4labour,,,5,0,5,25622,0,25622,0,0,0,0,56,0.000056,0.001688,0,0,177,0,0.039755
nickvsx,,,5,0,5,4682,0,4682,0,0,0,0,82,0.000053,0.001874,0,0,176,0,0.028805
BeaumontBee,,,1,0,1,14884,0,14884,0,0,0,0,56,0.000047,0.001094,0,0,175,0,0.005761
